Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.55982e-05,3.65072e-07,1.19955e-05,5.4022e-05,9.68844e-06,9.89011e-06,9.63708e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.05293,0,2.27614,7.03991e-06,0.0795548,0,0.229968,8.97025e-08,0.155649,0,1.69146,0,0.0249157,0,0.206123,0,, , 0.0647197,0.0193087,0.0716202,6.87397,1.6188,1.69146,0,0.000987789,0.0194681,0.00348139,0.0019662,0.00162304,0.0502722,0.206123,0,0.0585562
2,15.3006,15.1731,15.0113,0.000313605,0.57027,0.585574,5.24887,7.50498e-06,3.84774,3.72024,13.2848,0,0.243227,0.258531,4.38043,6.27179e-09,, , 0.517758,6.69442,0.355797,15.1163,10.0029,13.2848,0,0.0155217,0.349125,0.129148,0.023485,0.00853657,0.643275,4.38043,6.27179e-09,0.920125
3,4.28174,4.22626,9.7203,0.000627215,0.198759,0.206119,3.3981,1.49096e-05,0.963719,0.908241,8.86213,0,0.0946281,0.101988,1.66857,1.25436e-08,, , 0.225512,1.49154,0.154912,5.23262,3.23599,8.86213,0,0.0293457,0.144732,0.0417726,0.010111,0.00755516,0.205569,1.66857,1.25436e-08,1.73961
4,6.32468,6.22019,10.2126,0.00125446,0.318499,0.334508,6.60165,2.97189e-05,1.24527,1.14078,8.86174,0,0.175459,0.191467,3.14363,2.50872e-08,, , 0.451024,1.63167,0.303359,8.74862,4.70989,8.86174,0,0.0584488,0.270763,0.0761984,0.0199645,0.0118465,0.285306,3.14363,2.50872e-08,3.46485
5,1.58382,1.54548,9.13566,0.00250901,0.113621,0.117727,8.18007,5.93374e-05,0.32661,0.288263,7.59984,0,0.0738861,0.0779918,1.26623,5.01743e-08,, , 0.165682,0.33779,0.1114,6.2831,1.66515,7.59984,0,0.116473,0.120227,0.024022,0.00762852,0.017688,0.0859265,1.26623,5.01743e-08,6.90454
6,2.54749,2.47311,10.536,0.00501843,0.175996,0.188803,15.7932,0.000118574,0.548564,0.474184,7.5986,0,0.121793,0.134599,1.96586,1.00349e-07,, , 0.331365,0.470897,0.220486,11.9572,2.77468,7.5986,0,0.232886,0.195138,0.0467762,0.0144775,0.0313899,0.125613,1.96586,1.00349e-07,13.8055
7,0.472755,0.470608,9.57659,0.0170891,0.0323891,0.0335596,49.4661,0.000218088,0.388468,0.386321,0.0140958,0,0.0190424,0.020213,0.303347,3.56795e-07,, , 0.00920458,0.759379,0.00620558,12.0326,0.288443,0.0140958,0,0.827824,0.019475,0.0183357,0.00144469,0.107445,0.0521645,0.303347,3.56795e-07,49.0734
8,0.0289634,0.0286888,0.0181636,2.0859e-05,0.000549065,0.000573275,0.0602875,2.7136e-07,0.00230457,0.00202994,0.00219267,0,9.6582e-05,0.000120791,0.000268349,5.57493e-09,, , 0.00115057,0.00240199,0.000781947,0.0803593,0.021293,0.00219267,0,0.00101147,0.000106703,8.89254e-05,2.17448e-05,0.000321226,0.000742664,0.000268349,5.57493e-09,0.0599602
Total,38.5929,30.1374,66.4867,0.0268397,1.48964,1.46686,88.9783,0.000448494,7.47833,6.92005,47.9148,0,0.753047,0.78491,12.9345,5.56796e-07,, , 1.76642,11.4074,1.22456,66.3248,24.3172,47.9148,0,1.2825,1.11904,0.339823,0.0790992,0.186405,1.44887,12.9345,5.56796e-07,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.00562,0.00739405,1.36362,12.743,0.016048,2.95959
